,Title,CompanyName,Rating,Location,Summary,date,Url,Details
93,"Advisor, Data Analytics",Cardinal Health,3.5,"Bengaluru, Karnataka","Build, Maintain and Enhance data defect database.Build, Maintain, and Enhance data quality rules.Build, Maintain and Enhance data quality workflows and jobs.",5 days ago,https://www.indeed.com/viewjob?jk=d9172ada095456e5,What Data Governance contributes to Cardinal Health Data Governance is responsible for the disciplin...
94,Data Scientist,,,"Bengaluru, Karnataka",Assess the effectiveness and accuracy of new data sources and data gathering techniques.Build custom data models and machine-learning algorithms to apply to…,30+ days ago,https://www.indeed.com/viewjob?jk=5017bb0e32ca18f3,Experience 1 to 4 years. Summary of position We are looking for a Data Scientist to support our prod...
95,Data Scientist,,,"Bengaluru, Karnataka",Key Skills data scientist Data Analyst machine learning.Extending company’s data with third party sources of information when needed.,9 days ago,https://www.indeed.com/viewjob?jk=aa746f4357b74c83,"Bangalore Responsibilities Selecting features, building and optimizing classifiers using machine le..."
96,Digital Data Scientist,GSK,4.2,"Bengaluru, Karnataka",Preferably Ph.D. with specialised knowledge in data science applied to digital data.Create novel algorithms to extract information from unstructured raw sensor…,30+ days ago,https://www.indeed.com/viewjob?jk=1b615df74e14a11e,Site Name: Bengaluru Luxor North Tower Posted Date: May 25 2021 GSK’s Digital Biomarkers team partne...
97,Data Scientist,,,"Bengaluru, Karnataka","Experience in data visualization concepts and tools.Strong background in relational databases, data modeling and SQL.Experience with Data Quality Controls.",28 days ago,https://www.indeed.com/viewjob?jk=3e434325f1ee0185,Job Description Roles and Responsibilities ORGANISATION A leader in capturing technographics-powered...
98,Sr Data Scientist,General Electric,4.0,"Bengaluru, Karnataka","Work with data engineers on data quality assessment, data cleansing and data analytics.Demonstrated skill at data cleansing, data quality assessment, and using…",30+ days ago,https://www.indeed.com/viewjob?jk=6853afa63a8791cc,"Job Description Summary The Sr Data Scientist will work in teams addressing statistical, machine lea..."
99,Data Scientist,Wells Fargo,3.7,"Bengaluru, Karnataka",Proficiency in data mining and statistical analysis.3 - 6 years of relevant hands on experience in data science and advanced analytics.,23 days ago,https://www.indeed.com/viewjob?jk=5ff94ff79acdaa39,About Wells Fargo Wells Fargo & Company (NYSE: WFC) is a leading global financial services company h...
100,Principal Data Scientist - Bengaluru,,,"Bengaluru, Karnataka","Develop data science roadmap, and guide data scientist to meet their deliverables.Experience designing data science solutions to business problems.",16 days ago,https://www.indeed.com/viewjob?jk=b2cfc7f1a97dd8ec,"Mandate Skills Experience in Programing (Python, R, SQL, NoSQL,Spark) with ML tools & Cloud Technol..."
101,Senior Data Scientist,"JPMorgan Chase Bank, N.A.",3.9,"Bengaluru, Karnataka","Experience in ETL data pipelines both batch and real-time data processing, Data warehousing, NoSQL DB.Experience in big data technologies: Hadoop, Hive, Spark,…",Today,https://www.indeed.com/viewjob?jk=f4c75bdf606077e1,"As the next push into this investment, JPMC is hiring the best talents to join the newly-formed AI e..."
102,Senior Data scientist,Smiths Detection,3.4,"Bengaluru, Karnataka","Understanding of data structures, data modeling and software architecture.Study and transform data science prototypes.",30+ days ago,https://www.indeed.com/viewjob?jk=19a1099b1d11399b,Smiths Detection’s Digital Platform is an innovative global security platform designed to transform ...
103,Data Scientist - Fuel Economy,Daimler,4.1,"Bengaluru, Karnataka","Experience in data modelling, data analysis, data binding, data classification.Should have hands on experience in large data handling and knowledge of SQL.",30+ days ago,https://www.indeed.com/viewjob?jk=d16c4dc3d50a8d6d,Data Scientist - Fuel Economy Description Qualifications: (those required to do this job effectivel...
